City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
morki,RU,12.9,88,100,11.3,56.4303,48.9947,1615686914
kloulklubed,PW,84.2,74,75,5.21,7.0419,134.2556,1615686914
saint-francois,FR,39.2,87,90,8.05,46.4154,3.9054,1615686914
port hardy,CA,46.4,87,90,14.97,50.6996,-127.4199,1615686686
kupang,ID,84.2,84,20,3.44,-10.1667,123.5833,1615686646
tymovskoye,RU,35.64,98,39,6.26,50.8456,142.655,1615686915
caravelas,BR,74.89,89,0,4.5,-17.7125,-39.2481,1615686763
dwarka,IN,75.2,71,0,12.77,22.2394,68.9678,1615686916
magadan,RU,5.02,70,0,3.87,59.5667,150.8,1615686752
callaway,US,66.2,77,1,3.44,30.153,-85.5699,1615686916
inndyr,NO,32.0,86,75,14.97,67.0338,14.0276,1615686917
ancud,CL,51.01,87,0,2.3,-41.8697,-73.8203,1615686671
essau,GM,75.2,43,1,3.44,13.4839,-16.5347,1615686917
kishapu,TZ,63.39,63,21,6.22,-3.6167,33.8667,1615686917
marigot,MF,77.0,73,20,3.44,18.0667,-63.0833,1615686918
tam ky,VN,80.6,69,40,2.3,15.5667,108.4833,1615686918
togitsu,JP,51.8,76,40,2.3,32.8333,129.85,1615686677
kieta,PG,85.89,62,93,7.29,-6.2167,155.6333,1615686918
chipurupalle,IN,74.89,52,0,2.17,18.3,83.5667,1615686919
port lincoln,AU,61.21,49,100,9.86,-34.7333,135.8667,1615686690
sayyan,YE,53.53,24,16,0.78,15.1718,44.3244,1615686764
poum,NC,80.71,69,100,10.51,-20.2333,164.0167,1615686777
ponta delgada,PT,59.0,100,75,18.41,37.7333,-25.6667,1615686919
severnoye,RU,-3.32,99,100,7.29,56.3491,78.3619,1615686920
xinzhi,CN,55.92,63,20,5.17,36.4989,111.7047,1615686920
nome,US,12.0,67,20,29.93,64.5011,-165.4064,1615686748
santiago del estero,AR,70.63,67,66,2.57,-27.7951,-64.2615,1615686920
vila velha,BR,75.99,88,0,3.44,-20.3297,-40.2925,1615686723
umm lajj,SA,70.5,62,88,8.84,25.0213,37.2685,1615686730
oktyabrskiy,RU,-1.08,90,52,8.23,54.4815,53.471,1615686921
kaohsiung,TW,77.0,65,40,2.3,22.6163,120.3133,1615686903
mercedes,AR,66.99,64,0,4.0,-34.6515,-59.4307,1615686922
tyrma,RU,35.89,77,0,1.7,50.0833,132.1667,1615686922
montague,US,34.0,40,2,1.99,42.5356,-72.5351,1615686923
matay,EG,52.9,74,83,11.72,28.419,30.7792,1615686923
krapivinskiy,RU,-4.0,71,0,8.95,54.9992,86.8133,1615686923
tutoia,BR,77.92,86,81,7.83,-2.7619,-42.2744,1615686923
altoona,US,39.2,28,1,6.91,40.5187,-78.3947,1615686755
puerto escondido,MX,80.6,69,40,5.75,15.85,-97.0667,1615686707
capao da canoa,BR,73.72,87,8,9.66,-29.7456,-50.0097,1615686924
fuyang,CN,58.55,72,0,9.01,32.9,115.8167,1615686924
neiafu,TO,86.0,66,20,4.61,-18.65,-173.9833,1615686924
aykhal,RU,1.26,88,100,19.77,66.0,111.5,1615686925
honiara,SB,82.67,78,90,3.36,-9.4333,159.95,1615686692
padang,ID,78.8,89,20,2.3,-0.9492,100.3543,1615686656
petropavlovsk-kamchatskiy,RU,32.0,59,40,6.71,53.0452,158.6483,1615686925
camacupa,AO,60.26,96,96,3.67,-12.0167,17.4833,1615686926
noshiro,JP,41.0,93,75,2.3,40.2039,140.0242,1615686926
kutum,SD,63.93,17,26,6.87,14.2,24.6667,1615686760
katsuura,JP,62.6,29,20,28.77,35.1333,140.3,1615686714
praia da vitoria,PT,60.01,100,75,19.51,38.7333,-27.0667,1615686659
mount isa,AU,89.6,45,75,11.5,-20.7333,139.5,1615686695
los algarrobos,PA,64.99,64,15,7.0,8.5,-82.4333,1615686927
tazovskiy,RU,-12.78,96,98,9.86,67.4667,78.7,1615686927
biak,ID,83.03,70,94,1.61,-0.9131,122.8766,1615686927
faanui,PF,83.19,73,0,12.15,-16.4833,-151.75,1615686692
ajdabiya,LY,61.68,33,100,11.3,30.7554,20.2263,1615686928
xining,CN,49.03,24,100,1.95,36.6167,101.7667,1615686919
puerto lopez,CO,79.45,69,100,5.1,4.0845,-72.956,1615686928
jacareacanga,BR,72.52,98,98,2.15,-6.2222,-57.7528,1615686928
keflavik,IS,26.6,74,40,16.11,64.0049,-22.5624,1615686748
quatre cocos,MU,78.8,89,75,8.05,-20.2078,57.7625,1615686776
puerto rondon,CO,78.13,71,81,4.56,6.2805,-71.1,1615686929
putai,FR,39.2,93,75,10.36,46.6579,1.9863,1615686929
ixtapa,MX,75.2,69,20,11.5,20.7,-105.2,1615686686
gourbeyre,GP,75.2,78,0,3.44,15.9938,-61.6914,1615686929
tarakan,ID,80.37,78,19,3.78,3.3,117.6333,1615686930
maryborough,AU,87.62,46,28,4.54,-25.5333,152.7,1615686930
tarcau,RO,32.0,32,38,5.01,46.8667,26.1333,1615686930
orel-izumrud,RU,39.2,70,94,13.42,43.4583,39.9244,1615686930
toba,JP,53.01,58,0,8.01,34.4833,136.85,1615686931
sorland,NO,41.63,85,94,10.13,67.667,12.6934,1615686731
hualmay,PE,72.03,78,7,4.45,-11.0964,-77.6139,1615686660
nagpur,IN,69.8,68,40,2.93,21.15,79.1,1615686673
berbera,SO,77.07,79,28,3.71,10.4396,45.0143,1615686932
saint george,US,48.99,57,1,3.44,37.1041,-113.5841,1615686666
nabire,ID,86.41,59,44,4.07,-3.3667,135.4833,1615686932
nishihara,JP,71.6,46,75,6.91,26.1842,127.7558,1615686809
muzaffargarh,PK,64.4,82,7,6.02,30.0754,71.1921,1615686933
kijang,KR,53.6,66,1,4.61,35.2442,129.2139,1615686933
lithakia,GR,50.0,93,20,3.44,37.7167,20.8333,1615686934
apac,UG,70.32,52,23,2.48,1.9756,32.5386,1615686934
baykit,RU,4.57,84,100,13.96,61.67,96.37,1615686934
puksoozero,RU,27.95,94,100,11.36,62.5903,40.6066,1615686934
valle de allende,MX,63.01,7,49,11.52,26.9333,-105.4,1615686934
ondjiva,AO,67.77,76,0,4.36,-17.0667,15.7333,1615686935
tyukhtet,RU,1.17,89,100,14.56,56.5389,89.3011,1615686935
rumoi,JP,41.99,67,100,5.19,43.9344,141.6428,1615686935
kattivakkam,IN,73.4,88,20,4.61,13.2167,80.3167,1615686935
ulaangom,MN,2.79,61,0,2.24,49.9811,92.0667,1615686935
paracuru,BR,82.0,74,100,14.0,-3.41,-39.0306,1615686936
guider,CM,78.67,67,100,8.3,9.9342,13.9486,1615686936
gat,IL,54.0,100,1,2.8,31.61,34.7642,1615686936
palmer,US,35.6,35,40,8.05,42.1584,-72.3287,1615686936
tautira,PF,89.6,62,20,4.61,-17.7333,-149.15,1615686651
bilibino,RU,-3.19,93,100,5.19,68.0546,166.4372,1615686937
pontianak,ID,82.4,78,40,5.75,-0.0333,109.3333,1615686672
shiyan,CN,58.42,78,95,4.56,32.6475,110.7781,1615686938
orumiyeh,IR,26.6,80,0,4.61,37.5527,45.0761,1615686938
sao joao da barra,BR,76.23,88,69,11.7,-21.6403,-41.0511,1615686642
atami,JP,57.99,48,37,3.0,35.0894,139.0686,1615686939
tumpat,MY,80.6,78,20,2.3,6.1978,102.171,1615686939
broome,US,33.8,34,1,9.22,42.2506,-75.833,1615686763
qarayeri,AZ,32.0,93,90,4.61,40.7886,46.3066,1615686939
saint anthony,US,51.8,43,1,4.61,45.0205,-93.218,1615686778
general roca,AR,69.8,56,0,11.54,-39.0333,-67.5833,1615686940
eureka,US,50.0,70,97,4.94,40.8021,-124.1637,1615686940
belle fourche,US,45.0,100,90,6.91,44.6714,-103.8522,1615686940
sambava,MG,74.71,80,30,8.41,-14.2667,50.1667,1615686940
banda aceh,ID,82.76,68,25,4.9,5.5577,95.3222,1615686940
camacha,PT,59.0,67,75,9.22,33.0833,-16.3333,1615686941
oda,JP,51.8,71,20,3.44,35.1833,132.5,1615686779
hailey,US,41.0,38,1,3.44,43.5196,-114.3153,1615686941
tomatlan,MX,75.33,42,0,5.12,19.9333,-105.25,1615686941
lewiston,US,28.4,46,1,1.5,44.1003,-70.2148,1615686941
udachnyy,RU,4.98,86,100,18.28,66.4167,112.4,1615686738
ibra,OM,60.89,60,0,2.51,22.6906,58.5334,1615686942
maumere,ID,84.83,68,98,1.86,-8.6199,122.2111,1615686942
japura,ID,76.32,91,100,2.06,-0.3167,102.35,1615686942
lyubech,UA,35.4,94,100,12.26,51.7026,30.6569,1615686942
santa isabel do rio negro,BR,71.58,96,26,1.86,-0.4139,-65.0192,1615686943
vermillion,US,51.01,53,1,6.91,42.7794,-96.9292,1615686943
ilulissat,GL,10.4,67,100,13.8,69.2167,-51.1,1615686652
abu kamal,SY,50.34,42,3,2.39,34.4506,40.9171,1615686943
ust-tsilma,RU,17.76,94,91,6.67,65.441,52.1498,1615686944
leamington,CA,41.0,56,91,8.05,42.0549,-82.6062,1615686944
jibuti,DJ,78.8,78,40,6.91,11.5,42.5,1615686944
buenos aires,AR,75.0,64,0,10.36,-34.6132,-58.3772,1615686891
san jose,US,54.0,66,1,8.05,37.3394,-121.895,1615686945
suruc,TR,41.0,42,0,4.61,36.9761,38.425,1615686945
taltal,CL,65.55,87,15,5.37,-25.4,-70.4833,1615686946
bandarbeyla,SO,78.03,73,96,8.12,9.4942,50.8122,1615686946
kinsale,IE,41.0,75,20,17.27,51.7075,-8.5306,1615686947
sukkur,PK,84.2,42,40,5.59,27.7052,68.8574,1615686947
hargeysa,SO,60.42,88,24,2.82,9.56,44.065,1615686947
ilebo,CD,70.7,98,100,0.87,-4.3167,20.5833,1615686947
hay river,CA,1.4,78,100,11.5,60.8156,-115.7999,1615686726
jabinyanah,TN,53.6,87,20,5.75,35.035,10.9081,1615686948
bluefields,NI,74.03,91,7,6.46,12.0137,-83.7635,1615686948
bara,NG,77.23,69,100,11.01,10.3744,10.7288,1615686948
savannah bight,HN,77.0,80,0,13.69,16.45,-85.85,1615686948
dauphin,CA,35.6,64,1,3.24,51.1494,-100.0502,1615686949
tabuk,PH,77.72,74,77,7.72,17.4189,121.4443,1615686949
puerto del rosario,ES,64.4,72,75,12.66,28.5004,-13.8627,1615686817
husavik,IS,21.2,86,0,3.44,66.0449,-17.3389,1615686750
jackson,US,66.2,27,1,5.75,42.4165,-122.8345,1615686949
mitu,CO,72.5,96,100,1.23,1.1983,-70.1733,1615686950
kavarskas,LT,39.25,94,100,18.25,55.4333,24.9167,1615686950
buritis,BR,71.2,91,98,1.52,-15.6178,-46.4233,1615686950
olafsvik,IS,28.36,73,100,13.42,64.8945,-23.7142,1615686951
batemans bay,AU,60.01,100,100,12.46,-35.7167,150.1833,1615686699
wiener neustadt,AT,48.99,60,100,3.0,47.8,16.25,1615686951
bilma,NE,74.77,14,0,3.22,18.6853,12.9164,1615686747
kawai,JP,55.0,50,40,12.66,34.2333,135.85,1615686952
sioux lookout,CA,35.6,41,40,11.5,50.1001,-91.917,1615686952
pemberton,CA,48.2,37,90,6.91,50.3164,-122.8027,1615686953
ardakan,IR,41.0,52,0,4.61,32.31,54.0175,1615686953
kuytun,RU,4.84,77,100,20.51,54.3419,101.5036,1615686711
roblin,CA,26.89,93,46,8.41,51.23,-101.3565,1615686953
faro,PT,53.6,62,0,6.91,37.0194,-7.9322,1615686953
kendari,ID,86.27,64,0,3.33,-3.945,122.4989,1615686954
indian head,US,48.2,36,1,2.62,38.6001,-77.1622,1615686954
marrakesh,MA,55.4,88,0,6.91,31.6315,-8.0083,1615686954
pekan,MY,75.2,88,20,3.44,3.4836,103.3996,1615686954
karratha,AU,89.44,52,41,23.53,-20.7377,116.8463,1615686543
gizo,SB,84.7,66,15,6.2,-8.103,156.8419,1615686700
asyut,EG,50.0,66,0,10.36,27.181,31.1837,1615686955
shitkino,RU,6.39,89,100,16.28,56.3703,98.3543,1615686955
port hedland,AU,84.2,65,40,24.16,-20.3167,118.5667,1615686696
porto novo,BJ,84.2,79,40,11.5,6.4965,2.6036,1615686955
mumford,GH,81.45,79,100,12.8,5.2618,-0.759,1615686956
pacific grove,US,52.0,80,1,3.0,36.6177,-121.9166,1615686956
